Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1268,John,br BRA,GK,GK,Nottingham,eng Premier League,29,1996,4.9,0,0,0,0,0,0,0,0,0,0
1269,Dennis Johnsen,no NOR,MFFW,MF,Cremonese,it Serie A,27,1998,4.3,1,5,2,40,1.15,0.46,0.2,0.5,0,0
1270,Brennan Johnson,wls WAL,MFFW,MF,Tottenham,eng Premier League,24,2001,6.8,2,6,2,33.3,0.89,0.3,0.33,1,0,0
1271,Brennan Johnson,wls WAL,MFFW,MF,Crystal Palace,eng Premier League,24,2001,12.4,0,17,3,17.6,1.38,0.24,0,0,0,0
1272,Karl-Johan Johnsson,se SWE,GK,GK,Strasbourg,fr Ligue 1,35,1990,1,0,0,0,0,0,0,0,0,0,0
1273,Sam Johnstone,eng ENG,GK,GK,Wolves,eng Premier League,32,1993,12,0,0,0,0,0,0,0,0,0,0
1274,Curtis Jones,eng ENG,MFDF,MF,Liverpool,eng Premier League,24,2001,21.5,1,22,7,31.8,1.02,0.33,0.05,0.14,0,0
1275,Ricky-Jade Jones,eng ENG,FW,FW,St Pauli,de Bundesliga,24,2001,3.9,2,11,6,54.5,2.82,1.54,0.18,0.33,0,0
1276,Frenkie de Jong,nl NED,MF,MF,Barcelona,es La Liga,28,1997,18.2,1,7,2,28.6,0.39,0.11,0.14,0.5,0,0
1277,Joan Jordán,es ESP,MF,MF,Sevilla,es La Liga,31,1994,0.3,0,0,0,0,0,0,0,0,0,0
1278,Josan,es ESP,MFDF,MF,Elche,es La Liga,35,1989,6.3,0,3,1,33.3,0.48,0.16,0,0,0,0
1279,Mateo Joseph,es ESP,MFFW,MF,Mallorca,es La Liga,21,2003,18.9,2,33,14,42.4,1.75,0.74,0.06,0.14,0,0
1280,Lazar Jovanović,rs SRB,FW,FW,Stuttgart,de Bundesliga,18,2006,0.4,0,1,0,0,2.25,0,0,0,0,0
1281,Juanmi,es ESP,FWMF,FW,Getafe,es La Liga,32,1993,2,1,2,1,50,1.01,0.5,0.5,1,0,0
1282,Abdulai Juma Bah,sl SLE,DF,DF,Nice,fr Ligue 1,19,2006,21.8,0,7,2,28.6,0.32,0.09,0,0,0,0
1283,Anthony Jung,de GER,DF,DF,Freiburg,de Bundesliga,33,1991,5.8,0,1,0,0,0.17,0,0,0,0,0
1284,Eli Junior Kroupi,fr FRA,MFFW,MF,Bournemouth,eng Premier League,19,2006,18.6,13,52,22,42.3,2.8,1.18,0.21,0.5,2,2
1285,Luiz Lúcio Reis Júnior,br BRA,GK,GK,Villarreal,es La Liga,24,2001,28,0,0,0,0,0,0,0,0,0,0
1286,Hamed Junior Traorè,ci CIV,MF,MF,Bournemouth,eng Premier League,25,2000,0.2,0,0,0,0,0,0,0,0,0,0
1287,Hamed Junior Traorè,ci CIV,MF,MF,Marseille,fr Ligue 1,25,2000,6.9,2,13,6,46.2,1.89,0.87,0.15,0.33,0,0
1288,Vinicius Júnior,br BRA,FWMF,FW,Real Madrid,es La Liga,25,2000,31.3,16,100,46,46,3.2,1.47,0.12,0.26,4,5
1289,Josip Juranović,hr CRO,MF,MF,Union Berlin,de Bundesliga,29,1995,3.7,1,4,1,25,1.09,0.27,0.25,1,0,0
1290,James Justin,eng ENG,DFMF,DF,Leeds United,eng Premier League,27,1998,21.1,2,24,6,25,1.14,0.28,0.08,0.33,0,0
1291,Ferran Jutglà,es ESP,FW,FW,Celta Vigo,es La Liga,26,1999,18.4,9,45,26,57.8,2.45,1.42,0.2,0.35,0,0
1292,Filip Jørgensen,dk DEN,GK,GK,Chelsea,eng Premier League,23,2002,4.2,0,0,0,0,0,0,0,0,0,0
1293,Martijn Kaars,nl NED,FW,FW,St Pauli,de Bundesliga,26,1999,15,3,23,10,43.5,1.54,0.67,0.09,0.2,1,1
1294,Mohamed Kaba,gn GUI,MF,MF,Nantes,fr Ligue 1,23,2001,10.2,0,11,6,54.5,1.08,0.59,0,0,0,0
1295,Mohamed Kaba,gn GUI,MF,MF,Lecce,it Serie A,23,2001,7,0,9,4,44.4,1.28,0.57,0,0,0,0
1296,Ozan Kabak,tr TUR,DF,DF,Hoffenheim,de Bundesliga,25,2000,19.5,4,35,12,34.3,1.8,0.62,0.11,0.33,0,0
1297,Almugera Kabar,de GER,DF,DF,Dortmund,de Bundesliga,19,2006,0.2,0,1,0,0,5.63,0,0,0,0,0
1298,Christian Kabasele,be BEL,DF,DF,Udinese,it Serie A,34,1991,25,3,9,6,66.7,0.36,0.24,0.33,0.5,0,0
1299,Anton Kade,de GER,MFFW,MF,Augsburg,de Bundesliga,21,2004,19.4,6,48,21,43.8,2.48,1.08,0.13,0.29,0,0
1300,Ferdi Kadioglu,tr TUR,DFMF,DF,Brighton,eng Premier League,25,1999,34.8,1,28,13,46.4,0.8,0.37,0.04,0.08,0,0
1301,Florian Kainz,at AUT,MF,MF,Köln,de Bundesliga,32,1992,3.1,1,8,4,50,2.58,1.29,0.13,0.25,0,0
1302,Saša Kalajdžić,at AUT,FWMF,FW,Wolves,eng Premier League,28,1997,0.2,0,0,0,0,0,0,0,0,0,0
1303,Arnaud Kalimuendo,fr FRA,FW,FW,Nottingham,eng Premier League,23,2002,1.1,0,4,1,25,3.75,0.94,0,0,0,0
1304,Arnaud Kalimuendo,fr FRA,FWMF,FW,Frankfurt,de Bundesliga,23,2002,15.7,6,30,16,53.3,1.91,1.02,0.2,0.38,0,0
1305,Pierre Kalulu,fr FRA,DFMF,DF,Juventus,it Serie A,25,2000,36.5,2,13,4,30.8,0.36,0.11,0.15,0.5,0,0
1306,Justin-Noël Kalumba,fr FRA,FW,FW,Mallorca,es La Liga,20,2004,0.9,0,1,0,0,1.11,0,0,0,0,0
1307,Justin-Noël Kalumba,fr FRA,FWMF,FW,Angers,fr Ligue 1,20,2004,2.5,0,1,0,0,0.4,0,0,0,0,0
1308,Daichi Kamada,jp JPN,MF,MF,Crystal Palace,eng Premier League,28,1996,21.1,0,19,4,21.1,0.9,0.19,0,0,0,0
1309,Warren Kamanzi,no NOR,MF,MF,Toulouse,fr Ligue 1,24,2000,9.7,1,12,2,16.7,1.24,0.21,0.08,0.5,0,0
1310,Abu Kamara,eng ENG,MF,MF,Getafe,es La Liga,22,2003,2.8,0,4,1,25,1.41,0.35,0,0,0,0
1311,Bingourou Kamara,sn SEN,GK,GK,Lorient,fr Ligue 1,28,1996,3,0,0,0,0,0,0,0,0,0,0
1312,Boubacar Kamara,fr FRA,MF,MF,Aston Villa,eng Premier League,25,1999,15.7,1,7,4,57.1,0.45,0.26,0.14,0.25,0,0
1313,Glen Kamara,fi FIN,MF,MF,Rennes,fr Ligue 1,29,1995,0.7,0,0,0,0,0,0,0,0,0,0
1314,Hassane Kamara,ci CIV,MFDF,MF,Udinese,it Serie A,31,1994,20.7,0,16,5,31.3,0.77,0.24,0,0,0,0
1315,Noham Kamara,fr FRA,DF,DF,Lyon,fr Ligue 1,18,2007,0.1,0,0,0,0,0,0,0,0,0,0
1316,Willy Kambwala,fr FRA,DF,DF,Villarreal,es La Liga,20,2004,1,0,0,0,0,0,0,0,0,0,0
1317,Jakub Kamiński,pl POL,MFFW,MF,Köln,de Bundesliga,23,2002,33.5,7,62,25,40.3,1.85,0.75,0.11,0.28,0,0
1318,Nouhoum Kamissoko,ml MLI,MF,MF,Marseille,fr Ligue 1,20,2004,0.3,0,1,0,0,3.75,0,0,0,0,0
1319,Kevin Kampl,si SVN,MF,MF,RB Leipzig,de Bundesliga,34,1990,0,0,0,0,0,0,0,0,0,0,0
1320,Harry Kane,eng ENG,FWMF,FW,Bayern Munich,de Bundesliga,32,1993,26.4,36,119,67,56.3,4.51,2.54,0.22,0.39,10,11
1321,Lee Kang-in,kr KOR,MFFW,MF,PSG,fr Ligue 1,24,2001,16.9,3,37,15,40.5,2.19,0.89,0.08,0.2,0,0
1322,Steeve Kango,fr FRA,DF,DF,Lyon,fr Ligue 1,18,2006,0.9,0,0,0,0,0,0,0,0,0,0
1323,Ibrahim Kanté,fr FRA,MF,MF,Brest,fr Ligue 1,18,2007,0.1,0,0,0,0,0,0,0,0,0,0
1324,Mohamadou Kanté,fr FRA,MF,MF,West Ham,eng Premier League,19,2005,0.8,0,2,0,0,2.4,0,0,0,0,0
1325,Adam Karabec,cz CZE,MFFW,MF,Lyon,fr Ligue 1,22,2003,10.2,1,9,5,55.6,0.88,0.49,0.11,0.2,0,0
1326,Atakan Karazor,tr TUR,MF,MF,Stuttgart,de Bundesliga,28,1996,20.9,0,7,2,28.6,0.33,0.1,0,0,0,0
1327,Dermane Karim,tg TOG,MF,MF,Lorient,fr Ligue 1,21,2003,15.2,1,16,2,12.5,1.05,0.13,0.06,0.5,0,0
1328,Lennart Karl,de GER,MF,MF,Bayern Munich,de Bundesliga,17,2008,14.2,5,42,21,50,2.95,1.48,0.12,0.24,0,0
1329,Jesper Karlström,se SWE,MF,MF,Udinese,it Serie A,30,1995,35,1,20,3,15,0.57,0.09,0.05,0.33,0,0
1330,Jon Karrikaburu,es ESP,FW,FW,Real Sociedad,es La Liga,22,2002,1.5,0,7,2,28.6,4.67,1.33,0,0,0,0
1331,Grigoris Kastanos,cy CYP,MF,MF,Hellas Verona,it Serie A,27,1998,0.5,0,1,0,0,2.05,0,0,0,0,0
1332,Silas Katompa,cd COD,FW,FW,Mainz 05,de Bundesliga,26,1998,3.7,1,8,7,87.5,2.16,1.89,0.13,0.14,0,0
1333,Panos Katseris,gr GRE,MFDF,MF,Lorient,fr Ligue 1,24,2001,8.3,1,7,4,57.1,0.84,0.48,0.14,0.25,0,0
1334,Mikkel Kaufmann,dk DEN,FW,FW,Heidenheim,de Bundesliga,24,2001,6,1,11,3,27.3,1.84,0.5,0.09,0.33,0,0
1335,Sota Kawasaki,jp JPN,MFDF,MF,Mainz 05,de Bundesliga,24,2001,3.4,0,1,0,0,0.29,0,0,0,0,0
1336,Michael Kayode,it ITA,DF,DF,Brentford,eng Premier League,21,2004,36.2,1,9,3,33.3,0.25,0.08,0.11,0.33,0,0
1337,Moise Kean,it ITA,FW,FW,Fiorentina,it Serie A,25,2000,22.6,8,98,27,27.6,4.33,1.19,0.06,0.22,2,2
1338,Michael Keane,eng ENG,DF,DF,Everton,eng Premier League,32,1993,28.8,3,27,7,25.9,0.94,0.24,0.11,0.43,0,0
1339,Ilan Kebbal,dz ALG,MFFW,MF,Paris FC,fr Ligue 1,27,1998,24.7,9,49,20,40.8,1.98,0.81,0.12,0.3,3,4
1340,Yassine Kechta,ma MAR,MF,MF,Le Havre,fr Ligue 1,23,2002,14.8,2,21,9,42.9,1.42,0.61,0.1,0.22,0,0
1341,Thilo Kehrer,de GER,DF,DF,Monaco,fr Ligue 1,28,1996,26.1,0,16,1,6.3,0.61,0.04,0,0,0,0
1342,Mandela Keita,be BEL,MF,MF,Parma,it Serie A,23,2002,33.1,1,16,5,31.3,0.48,0.15,0.06,0.2,0,0
1343,Yannik Keitel,de GER,MFDF,MF,Augsburg,de Bundesliga,25,2000,2.8,0,0,0,0,0,0,0,0,0,0
1344,Caoimhín Kelleher,ie IRL,GK,GK,Brentford,eng Premier League,26,1998,37,0,0,0,0,0,0,0,0,0,0
1345,Thomas Keller,de GER,DF,DF,Heidenheim,de Bundesliga,25,1999,2.1,0,2,0,0,0.96,0,0,0,0,0
1346,Lloyd Kelly,eng ENG,DF,DF,Juventus,it Serie A,26,1998,33.3,1,17,3,17.6,0.51,0.09,0.06,0.33,0,0
1347,Aljoscha Kemlein,de GER,MF,MF,Union Berlin,de Bundesliga,20,2004,21.8,0,17,2,11.8,0.78,0.09,0,0,0,0
1348,Marc-Oliver Kempf,de GER,DF,DF,Como,it Serie A,30,1995,25.8,4,21,6,28.6,0.81,0.23,0.19,0.67,0,0
1349,Luca Kerber,de GER,MF,MF,Heidenheim,de Bundesliga,23,2002,7.6,2,9,3,33.3,1.19,0.4,0.22,0.67,0,0
1350,Milos Kerkez,hu HUN,DF,DF,Liverpool,eng Premier League,21,2003,25.1,2,9,2,22.2,0.36,0.08,0.22,1,0,0
1351,Kevin,br BRA,MF,MF,Fulham,eng Premier League,22,2003,11.6,1,25,10,40,2.16,0.86,0.04,0.1,0,0
1352,Reda Khadra,de GER,FW,FW,Le Havre,fr Ligue 1,24,2001,2.5,0,6,3,50,2.36,1.18,0,0,0,0
1353,Bilal El Khannouss,ma MAR,MFFW,MF,Stuttgart,de Bundesliga,21,2004,18.1,4,42,15,35.7,2.32,0.83,0.1,0.27,0,0
1354,Rani Khedira,tn TUN,MF,MF,Union Berlin,de Bundesliga,31,1994,31.4,5,23,10,43.5,0.73,0.32,0.22,0.5,0,0
1355,Abdukodir Khusanov,uz UZB,DF,DF,Manchester City,eng Premier League,21,2004,15.9,0,7,1,14.3,0.44,0.06,0,0,0,0
1356,Cassiano Kiala,de GER,DF,DF,Bayern Munich,de Bundesliga,16,2009,0,0,0,0,0,0,0,0,0,0,0
1357,Kialonda,ao ANG,DF,DF,Lecce,it Serie A,27,1997,20.3,0,9,1,11.1,0.44,0.05,0,0,0,0
1358,Kiké,es ESP,FW,FW,Espanyol,es La Liga,35,1989,19.3,8,60,27,45,3.11,1.4,0.12,0.26,1,2
1359,Semih Kılıçsoy,tr TUR,FW,FW,Cagliari,it Serie A,19,2005,10.8,4,17,8,47.1,1.57,0.74,0.24,0.5,0,0
1360,Max Kilman,eng ENG,DF,DF,West Ham,eng Premier League,28,1997,17.3,0,7,1,14.3,0.4,0.06,0,0,0,0
1361,Joshua Kimmich,de GER,MF,MF,Bayern Munich,de Bundesliga,30,1995,25.3,2,28,10,35.7,1.11,0.39,0.07,0.2,0,0
1362,Joshua King,eng ENG,MF,MF,Fulham,eng Premier League,18,2007,14.5,1,26,11,42.3,1.79,0.76,0.04,0.09,0,0
1363,Antonín Kinský,cz CZE,GK,GK,Tottenham,eng Premier League,22,2003,7,0,0,0,0,0,0,0,0,0,0
1364,Carl Klaus,de GER,GK,GK,Union Berlin,de Bundesliga,31,1994,3.7,0,0,0,0,0,0,0,0,0,0
1365,Tim Kleindienst,de GER,FW,FW,Gladbach,de Bundesliga,29,1995,0.1,0,0,0,0,0,0,0,0,0,0
1366,Lukas Klostermann,de GER,DF,DF,RB Leipzig,de Bundesliga,29,1996,1.1,0,2,1,50,1.89,0.95,0,0,0,0
1367,Justin Kluivert,nl NED,MF,MF,Bournemouth,eng Premier League,26,1999,10.6,2,17,4,23.5,1.61,0.38,0.12,0.5,0,0
1368,Ruben Kluivert,nl NED,DF,DF,Lyon,fr Ligue 1,24,2001,8.6,1,2,1,50,0.23,0.12,0.5,1,0,0
1369,Ansgar Knauff,de GER,MFFW,MF,Frankfurt,de Bundesliga,23,2002,14.7,4,34,14,41.2,2.31,0.95,0.12,0.29,0,0
1370,Joe Knight,eng ENG,MF,MF,Brighton,eng Premier League,19,2005,0,0,0,0,0,0,0,0,0,0,0
1371,Gregor Kobel,ch SUI,GK,GK,Dortmund,de Bundesliga,27,1997,34,0,0,0,0,0,0,0,0,0,0
1372,Robin Koch,de GER,DF,DF,Frankfurt,de Bundesliga,29,1996,31.5,3,15,5,33.3,0.48,0.16,0.2,0.6,0,0
1373,Christian Kofane,cm CMR,FW,FW,Leverkusen,de Bundesliga,19,2006,13.8,5,46,19,41.3,3.34,1.38,0.11,0.26,0,0
1374,Hervé Koffi,bf BFA,GK,GK,Angers,fr Ligue 1,28,1996,29.5,0,0,0,0,0,0,0,0,0,0
1375,Enzo Koffi Vinette,fr FRA,DF,DF,Le Havre,fr Ligue 1,19,2006,4.3,0,4,2,50,0.94,0.47,0,0,0,0
1376,Derrick Köhn,gh GHA,MFDF,MF,Union Berlin,de Bundesliga,26,1999,21.1,1,28,5,17.9,1.33,0.24,0,0,1,1
1377,Philipp Köhn,ch SUI,GK,GK,Monaco,fr Ligue 1,27,1998,18,0,0,0,0,0,0,0,0,0,0
1378,Dominik Kohr,de GER,DF,DF,Mainz 05,de Bundesliga,31,1994,26,2,15,4,26.7,0.58,0.15,0.13,0.5,0,0
1379,Koke,es ESP,MF,MF,Atlético Madrid,es La Liga,33,1992,24.7,2,14,4,28.6,0.57,0.16,0.14,0.5,0,0
1380,Sead Kolašinac,ba BIH,DF,DF,Atalanta,it Serie A,32,1993,13.5,0,3,0,0,0.22,0,0,0,0,0
1381,Luca Koleosho,it ITA,MF,MF,Paris FC,fr Ligue 1,20,2004,6.2,3,17,10,58.8,2.76,1.62,0.18,0.3,0,0
1382,Luca Koleosho,it ITA,MF,MF,Espanyol,es La Liga,20,2004,0.7,0,1,0,0,1.43,0,0,0,0,0
1383,Adam Kölle,de GER,DF,DF,Heidenheim,de Bundesliga,19,2006,1,1,2,1,50,1.94,0.97,0.5,1,0,0
1384,Randal Kolo Muani,fr FRA,FWMF,FW,Tottenham,eng Premier League,26,1998,18.5,1,20,4,20,1.08,0.22,0.05,0.25,0,0
1385,Timothée Kolodziejczak,fr FRA,DF,DF,Paris FC,fr Ligue 1,33,1991,7.4,0,1,1,100,0.14,0.14,0,0,0,0
1386,Mert Kömür,de GER,MFFW,MF,Augsburg,de Bundesliga,20,2005,16.3,2,41,16,39,2.52,0.98,0.05,0.13,0,0
1387,Ibrahima Konaté,fr FRA,DF,DF,Liverpool,eng Premier League,26,1999,34.3,1,12,4,33.3,0.35,0.12,0.08,0.25,0,0
1388,Samba Konaté,fr FRA,FW,FW,RB Leipzig,de Bundesliga,16,2009,0,0,1,0,0,22.5,0,0,0,0,0
1389,Geoffrey Kondogbia,cf CTA,MFDF,MF,Marseille,fr Ligue 1,32,1993,6.5,0,4,1,25,0.61,0.15,0,0,0,0
1390,Ismaël Koné,ca CAN,MF,MF,Sassuolo,it Serie A,23,2002,30.4,6,23,10,43.5,0.76,0.33,0.26,0.6,0,0
1391,Manu Koné,fr FRA,MF,MF,Roma,it Serie A,24,2001,27.3,2,21,5,23.8,0.77,0.18,0.1,0.4,0,0
1392,Ransford Königsdörffer,gh GHA,FWMF,FW,Hamburger SV,de Bundesliga,23,2001,25.9,5,65,22,33.8,2.51,0.85,0.08,0.23,0,1
1393,Ezri Konsa,eng ENG,DF,DF,Aston Villa,eng Premier League,27,1997,33.7,0,11,2,18.2,0.33,0.06,0,0,0,0
1394,Teun Koopmeiners,nl NED,MFDF,MF,Juventus,it Serie A,27,1998,20.3,0,28,7,25,1.38,0.34,0,0,0,0
1395,Ville Koski,fi FIN,DF,DF,Alavés,es La Liga,23,2002,3.1,0,1,1,100,0.32,0.32,0,0,0,0
1396,Odilon Kossounou,ci CIV,DF,DF,Atalanta,it Serie A,24,2001,11,1,5,1,20,0.46,0.09,0.2,1,0,0
1397,Filip Kostić,rs SRB,MF,MF,Juventus,it Serie A,32,1992,5.3,3,9,4,44.4,1.69,0.75,0.33,0.75,0,0
1398,Charalampos Kostoulas,gr GRE,FW,FW,Brighton,eng Premier League,18,2007,4.1,2,21,8,38.1,5.12,1.95,0.1,0.25,0,0
1399,Eddy Kouadio,ci CIV,DF,DF,Fiorentina,it Serie A,19,2006,0.8,0,0,0,0,0,0,0,0,0,0
1400,Christian Kouamé,ci CIV,FWMF,FW,Fiorentina,it Serie A,27,1997,0.3,0,0,0,0,0,0,0,0,0,0
1401,Koffi Kouao,ci CIV,DFMF,DF,Metz,fr Ligue 1,27,1998,25.2,2,23,10,43.5,0.91,0.4,0.09,0.2,0,0
1402,Arsène Kouassi,bf BFA,MF,MF,Lorient,fr Ligue 1,20,2004,28.9,2,9,5,55.6,0.31,0.17,0.22,0.4,0,0
1403,Christ-Owen Kouassi,fr FRA,DF,DF,Lecce,it Serie A,22,2003,2.5,0,0,0,0,0,0,0,0,0,0
1404,Konstantinos Koulierakis,gr GRE,DF,DF,Wolfsburg,de Bundesliga,21,2003,27.6,4,26,12,46.2,0.94,0.44,0.15,0.33,0,0
1405,Seny Koumbassa,fr FRA,DF,DF,Toulouse,fr Ligue 1,18,2007,4.9,1,3,1,33.3,0.61,0.2,0.33,1,0,0
1406,Jules Koundé,fr FRA,DF,DF,Barcelona,es La Liga,26,1998,25.1,1,14,4,28.6,0.56,0.16,0.07,0.25,0,0
1407,Lancinet Kourouma,gn GUI,FW,FW,Girona,es La Liga,21,2004,0.5,0,0,0,0,0,0,0,0,0,0
1408,Hamza Koutoune,ma MAR,DF,DF,Nice,fr Ligue 1,18,2006,0,0,0,0,0,0,0,0,0,0,0
1409,Mateo Kovačić,hr CRO,MF,MF,Manchester City,eng Premier League,31,1994,1.4,0,2,0,0,1.38,0,0,0,0,0
1410,Goduine Koyalipou,cf CTA,FW,FW,Angers,fr Ligue 1,25,2000,7.4,2,22,9,40.9,2.96,1.21,0.05,0.11,1,1
1411,Goduine Koyalipou,cf CTA,FW,FW,Levante,es La Liga,25,2000,2.7,1,10,4,40,3.64,1.46,0.1,0.25,0,0
1412,Emil Krafth,se SWE,DF,DF,Newcastle,eng Premier League,30,1994,0.5,0,0,0,0,0,0,0,0,0,0
1413,Alex Král,cz CZE,MF,MF,Union Berlin,de Bundesliga,27,1998,5.1,0,7,3,42.9,1.37,0.59,0,0,0,0
1414,Andrej Kramarić,hr CRO,MFFW,MF,Hoffenheim,de Bundesliga,34,1991,24.5,14,64,33,51.6,2.61,1.35,0.14,0.27,5,5
1415,Vladyslav Krapyvtsov,ua UKR,GK,GK,Girona,es La Liga,20,2005,1.5,0,0,0,0,0,0,0,0,0,0
1416,Jean-Philippe Krasso,ci CIV,FW,FW,Paris FC,fr Ligue 1,28,1997,12.1,2,27,10,37,2.23,0.82,0.04,0.1,1,1
1417,Tom Krauß,de GER,MFDF,MF,Köln,de Bundesliga,24,2001,19.8,0,9,2,22.2,0.46,0.1,0,0,0,0
1418,Ladislav Krejčí,cz CZE,DFMF,DF,Wolves,eng Premier League,26,1999,26.2,2,21,10,47.6,0.8,0.38,0.1,0.2,0,0
1419,Ladislav Krejčí,cz CZE,DF,DF,Girona,es La Liga,26,1999,2,0,1,0,0,0.5,0,0,0,0,0
1420,Rasmus Kristensen,dk DEN,DFMF,DF,Frankfurt,de Bundesliga,28,1997,17.1,2,15,6,40,0.88,0.35,0.13,0.33,0,0
1421,Thomas Kristensen,dk DEN,DF,DF,Udinese,it Serie A,23,2002,27.5,3,11,6,54.5,0.4,0.22,0.27,0.5,0,0
1422,Nikola Krstović,me MNE,FW,FW,Atalanta,it Serie A,25,2000,19.9,10,99,34,34.3,4.97,1.71,0.1,0.29,0,0
1423,Lukas Kübler,de GER,DF,DF,Freiburg,de Bundesliga,32,1992,17.6,2,19,5,26.3,1.08,0.28,0.11,0.4,0,0
1424,Takefusa Kubo,jp JPN,MF,MF,Real Sociedad,es La Liga,24,2001,16.7,2,28,12,42.9,1.68,0.72,0.07,0.17,0,0
1425,Mohammed Kudus,gh GHA,MFFW,MF,Tottenham,eng Premier League,24,2000,17.1,2,26,9,34.6,1.52,0.53,0.08,0.22,0,0
1426,Nicolas-Gerrit Kühn,de GER,MF,MF,Como,it Serie A,25,2000,7.4,1,8,3,37.5,1.08,0.41,0.13,0.33,0,0
1427,Sandro Kulenović,hr CRO,FW,FW,Torino,it Serie A,25,1999,3.3,0,5,2,40,1.5,0.6,0,0,0,0
1428,Sael Kumbedi,fr FRA,DFMF,DF,Wolfsburg,de Bundesliga,20,2005,20,0,5,0,0,0.25,0,0,0,0,0
1429,Sael Kumbedi,fr FRA,DF,DF,Lyon,fr Ligue 1,20,2005,0.7,0,1,0,0,1.38,0,0,0,0,0
1430,Marash Kumbulla,al ALB,DF,DF,Mallorca,es La Liga,25,2000,4.9,0,3,0,0,0.62,0,0,0,0,0
1431,Jonah Kusi-Asare,se SWE,FW,FW,Bayern Munich,de Bundesliga,18,2007,0.1,0,0,0,0,0,0,0,0,0,0
1432,Jonah Kusi-Asare,se SWE,FW,FW,Fulham,eng Premier League,18,2007,0.6,0,0,0,0,0,0,0,0,0,0
1433,Khvicha Kvaratskhelia,ge GEO,FW,FW,PSG,fr Ligue 1,24,2001,16.4,8,65,29,44.6,3.96,1.76,0.11,0.24,1,1
1434,Giorgi Kvilitaia,ge GEO,FW,FW,Metz,fr Ligue 1,31,1993,5.5,2,12,7,58.3,2.18,1.27,0.17,0.29,0,0
1435,Godson Kyeremeh,fr FRA,FW,FW,Le Havre,fr Ligue 1,25,2000,4.2,1,6,2,33.3,1.42,0.47,0.17,0.5,0,0
1436,Adrián de la Fuente,es ESP,DF,DF,Levante,es La Liga,26,1999,30.1,3,39,9,23.1,1.29,0.3,0.05,0.22,1,3
1437,Rémy Labeau Lascary,gp GLP,MFFW,MF,Brest,fr Ligue 1,22,2003,13.3,5,34,16,47.1,2.55,1.2,0.15,0.31,0,0
1438,Shea Lacey,eng ENG,FW,FW,Manchester Utd,eng Premier League,18,2007,0.5,0,4,1,25,8.37,2.09,0,0,0,0
1439,Maxence Lacroix,fr FRA,DF,DF,Crystal Palace,eng Premier League,25,2000,34.3,1,25,7,28,0.73,0.2,0.04,0.14,0,0
1440,Gael Lafont,fr FRA,FW,FW,Genoa,it Serie A,19,2006,0.1,0,0,0,0,0,0,0,0,0,0
1441,Emmanuel Lago,ci CIV,FW,FW,Marseille,fr Ligue 1,20,2004,0.5,0,2,2,100,3.67,3.67,0,0,0,0
1442,Yoel Lago,es ESP,DF,DF,Celta Vigo,es La Liga,21,2004,10.4,0,1,0,0,0.1,0,0,0,0,0
1443,Mayckel Lahdo,se SWE,FWMF,FW,Nantes,fr Ligue 1,22,2002,4.6,1,3,1,33.3,0.65,0.22,0.33,1,0,0
1444,Konrad Laimer,at AUT,DF,DF,Bayern Munich,de Bundesliga,28,1997,22.2,3,17,8,47.1,0.77,0.36,0.18,0.38,0,0
1445,Kenny Lala,mg MAD,DF,DF,Brest,fr Ligue 1,33,1991,31,0,8,1,12.5,0.26,0.03,0,0,0,0
1446,Ugo Lamare,fr FRA,FW,FW,Marseille,fr Ligue 1,18,2007,0.2,0,1,0,0,5.29,0,0,0,0,0
1447,Senne Lammens,be BEL,GK,GK,Manchester Utd,eng Premier League,23,2002,32,0,0,0,0,0,0,0,0,0,0
1448,Tariq Lamptey,gh GHA,MF,MF,Fiorentina,it Serie A,24,2000,0.3,0,0,0,0,0,0,0,0,0,0
1449,Noa Lang,nl NED,FWMF,FW,Napoli,it Serie A,26,1999,7.4,1,9,4,44.4,1.22,0.54,0.11,0.25,0,0
1450,Aymeric Laporte,es ESP,DF,DF,Athletic Club,es La Liga,31,1994,22.9,0,15,5,33.3,0.66,0.22,0,0,0,0
1451,Hugo Larsson,se SWE,MF,MF,Frankfurt,de Bundesliga,21,2004,20.1,2,13,6,46.2,0.65,0.3,0.15,0.33,0,0
1452,Jamaal Lascelles,eng ENG,DF,DF,Newcastle,eng Premier League,31,1993,0.2,0,1,0,0,4.29,0,0,0,0,0
1453,Toni Lato,es ESP,DFMF,DF,Mallorca,es La Liga,27,1997,6.5,0,0,0,0,0,0,0,0,0,0
1454,Josh Laurent,eng ENG,DFMF,DF,Burnley,eng Premier League,30,1995,19.6,1,15,4,26.7,0.77,0.2,0.07,0.25,0,0
1455,Armand Lauriente,fr FRA,FW,FW,Sassuolo,it Serie A,26,1998,28.8,7,71,26,36.6,2.47,0.9,0.1,0.27,0,0
1456,Matteo Lavelli,it ITA,FW,FW,Inter,it Serie A,18,2006,0.1,0,0,0,0,0,0,0,0,0,0
1457,Roméo Lavia,be BEL,MF,MF,Chelsea,eng Premier League,21,2004,4.2,0,3,0,0,0.71,0,0,0,0,0
1458,Valentino Lazaro,at AUT,MF,MF,Torino,it Serie A,29,1996,25,0,8,2,25,0.32,0.08,0,0,0,0
